Name,Idiom,Time Sig,Num Parts,Num Lines
Good King Wenceslas,NA,4_4,1,2
"Gordon Highlanders Funeral March, The",March,NA,0,5
"Gordon Highlanders, The",Slow Air,6_8,4,8
Gordon MacRae's Favourite,Hornpipe,2_4,4,8
Gordon's Castle,Reel, C_ ,4,8
Gordons March The aka Lochiels Welcome to Glasgow,March,6_8,2,4
"Gothenburg City Pipeband, The",March,4_4,1,8
Grand Old Flag-Marine Corps,March, C ,3,8
Grand Old Flag,March, C ,2,4
Granny Duncan,Reel, C_ ,2,3
Granny McLeod,Jig,6_8,2,4
"Gravel Path, The",Reel, C_ ,1,3
"Gravel Walk Remix, The",Reel, C_ ,6,6
Gravel Walk,Reel, C_ ,0,4
Gravity Wave Surfer,Reel, C_ ,2,4
"Great Finlay MacDonald, The",Hornpipe,2_4,4,8
"Green Fields of France, The",Slow Air,6_8,3,6
Green Fields of France,NA,3_4,3,5
Green Glens of Antrim,March,4_4,1,3
Green Groves of Erin and Flowers of Red Hill,Reel,NA,4,6
Green Groves of Erin,Reel,NA,2,3
"Green Hills of Tyrol, The Seconds",March,3_4,2,3
"Green Hills of Tyrol, The",March,3_4,2,4
Green Hills of Tyrol,March,3_4,2,4
Green Willis,March,2_4,2,4
Green,NA,2_4,2,4
Greenview Park,March,6_8,3,4
Greenwood Side,March,2_4,2,5
"Grey Bob, The",Reel, C ,0,28
"Griffin, The",Reel, C_ ,2,4
"Grinder, The",NA,9_8,2,3
Grips and Tachums Excercises,NA,2_4,4,7
"Guard at Heaven's Gate, The",NA, C ,1,4
"Gudger, The",Reel,2_4,4,8
Guide Me O Thou Great Jehovah,NA,4_4,0,3
Gur Milis Mhorag,Slow Air,9_8,2,2
Gypsy Laddie,Reel,4_4,2,2
Gypsy Warning,NA,3_4,3,4
H.M.S Bounty,Hornpipe,2_4,4,8
H.M.S. Renown,Hornpipe,2_4,0,8
"Hag at the Churn, The",Jig,6_8,2,2
"Hag with the Money, The",Jig,6_8,0,9
"Haiation Sensation, The",Jig,6_8,2,5
Hair Of The Dog,Hornpipe,2_4,2,4
Halifax Sunrise,NA,2_4,1,4
Ham Kelly of North Neck,NA,4_4,4,4
Hamilton's Nutsack,Hornpipe,2_4,2,6
Hamiltons Nut Sack,Hornpipe,2_4,2,6
"Hammer Heads, The",Hornpipe,2_4,3,6
"Hammer on the Anvil, The",Jig,6_8,4,8
"Hammills, The",Hornpipe,2_4,4,8
"Handshaker, The",Jig,NA,4,8
Hannah's Trip,Hornpipe,2_4,4,8
Happy Birthday,March,3_4,1,2
"Happy Onion Chopper, The",Hornpipe,2_4,5,10
Happy We've Been Together,March,2_4,2,4
"Hard Drive, The",Hornpipe,2_4,3,13
Hard Times Come Again No More,NA,4_4,2,6
Hardiman The Fiddler,Jig,9_8,1,2
Hark The Herald Angels Sing,NA,4_4,0,4
Harlow's Fancy,Jig,6_8,2,4
Harvest Home,Hornpipe,2_4,2,4
Haste To The Wedding,Jig,6_8,2,4
Hatikva,NA,4_4,0,9
"Haughs of Cromdale, The RSPBA",March,2_4,4,8
"Haughs of Cromdale, The",March,2_4,5,10
"Haunting, The",Slow Air,NA,2,4
Hava Nagila,NA,4_4,0,8
Hawaii Five-O,NA,4_4,0,6
"Hawk In The Gaggle, The",Reel,2_2,2,4
"Hawk That Swoops On High, The",NA,3_4,2,4
He Is Born,NA,2_4,0,4
He Was a Bonnie Lad,Strathspey, C ,1,3
Hearken My Love,Slow Air,6_8,2,4
Heart of Oak,March,2_4,1,3
Heather Grant of Strathyre,March,9_8,2,4
Hector the Hero,Air,6_8,2,4
Hector's Hornpipe,Hornpipe,2_4,4,8
"Heights Of Cassino, The",March,6_8,4,10
"Heights of Dargai, The",March,9_8,2,4
Heilan' Laddie,March,2_4,2,4
Heilan' Whisky,Strathspey,NA,0,3
Helen Black of Inveran,March,2_4,4,9
"Hellbound Train, The",Hornpipe,2_4,10,31
HellBoundTrain1,NA,2_4,10,31
HellBoundTrain2,NA,2_4,10,31
HellBoundTrain3,NA,2_4,10,31
"Hen and the Turkey, The",Hornpipe,2_4,2,4
"Hen's March, The",Jig,6_8,4,9
Hendo's Reel,Reel,NA,2,4
Her Majesty's Golden Jubilee,March,4_4,2,5
Here I Am Lord,NA, C ,2,7
Here We Go Again,Jig,6_8,2,4
Here's Good Health to the Piper,Jig,9_8,0,2
"Heroes Of Kohima, The",Slow Air,6_8,2,4
Heroes of Kohima,Slow Air,6_8,2,5
"Heroes of Ortona, The",March,3_4,2,5
Heroes of September 11th,March,4_4,0,4
Heroes of St. Valery 2nds,NA,3_4,4,10
Heroes of St. Valery,NA,3_4,4,10
"Heroes Of Vittoria, The",NA,3_4,4,8
"Herringwife, The",Jig,6_8,4,11
Hey Johnny Cope,March,2_4,4,8
Hey! Ho! My Bonnie Lass,Reel,NA,2,4
Heyken's Serenade,March,2_4,0,8
Heykens's Serenade,March,2_4,3,6
Hiccup,Hornpipe,2_4,1,8
"High Drive, The",Reel,4_4,2,4
"High Level, The",Hornpipe,NA,4,8
High Road To Gairloch-Brown-Haired Maiden,March,2_4,4,10
High Road to Gairloch,March,2_4,2,4
High Road to Linton The-Kate Dalrymple-Jock Wilson's Ball,Reel,NA,6,9
"High Road to Linton, The",Reel, C_ ,2,2
"Highland Brigade at Magersfontein, The",NA,3_4,0,4
"Highland Brigade At Tel-El-Kebir, The",March,6_8,4,8
"Highland Brigade's Welcome Home From South Africa, The",March,2_4,4,8
Highland Cathedral Pipeline,Slow Air,4_4,5,10
Highland Cathedral,NA,4_4,2,4
"Highland Clearances, The",Slow Air, C ,1,5
Highland Cradle Song The-Seconds,Slow Air,6_8,2,4
"Highland Cradle Song, The",Slow Air,6_8,2,4
Highland Donald Kissed Kitty,Strathspey, C ,2,2
Highland Harry,Strathspey, C ,4,5
Highland Laddie Pipeline,March,2_4,2,4
"Highland Laddie, The",March,2_4,2,4
Highland Laddie,March,2_4,2,4
Highland Wedding Hornpipe,NA,2_4,10,20
"Highland Wedding, The",March,2_4,6,13
Highland Whisky,Strathspey,4_4,2,3
"Highlands of Banffshire, The",Strathspey,NA,2,3
Hiking Song,March,4_4,2,8
"Hill Walker, The",Hornpipe,2_4,4,8
"Hills of Alva, The",March,4_4,4,8
"Hills of Argyll, The",March,4_4,2,5
"Hills of Glenorchy, The",March,6_8,2,4
Hills of Glenorchy,March,6_8,2,4
"Hills of Glentrium, The",March,6_8,2,4
"Hills Of Kowloon, The",March,6_8,4,8
Hills of Perth RSPBA 4-part,March,2_4,4,9
Hills of Perth,March,2_4,4,9
Hills of Sicily Solo Piper Intro to Farewell to The Creeks,NA,NA,1,2
Hills of Sicily,NA,6_8,1,2
His Father's Lament for Donald MacKenzie,NA,NA,24,24
Holy Holy Holy!,NA,4_4,0,4
"Homewrecker, The",Jig,6_8,4,6
Honey in the Bag,Jig,6_8,2,4
"Hong Kong Highland Gathering, The",March,6_8,2,4
Honor Our Fallen,March,6_8,0,9
Hooked on a Feeling,NA,4_4,1,8
Hornpipe Maggie,Hornpipe,2_4,4,8
Horselett Hill House,Hornpipe,2_4,4,8
Hot Cross Buns,NA,4_4,0,2
"Hot Fiddle, The",Hornpipe,2_4,4,8
Hot Punch,March,6_8,2,6
House of Edgar,March, C_ ,4,8
How Can I Keep From Singing,NA,3_4,0,2
How Great Thou Art,NA,4_4,2,3
How Much is That Doggy,NA,4_4,1,4
"Howlin' Winds Hornpipe, The",Hornpipe,2_4,4,9
"HRH Prince Andrew, C.V.O., A.D.C.",March,4_4,2,4
HRH Princess Alexandra,March,9_8,2,4
"Hubba Bubba Hornpipe, The",Hornpipe,2_4,4,9
Hugh Alexander Low Of Tiree,March,2_4,4,9
Hugh Kennedy. M.A. B.sc,March,2_4,2,10
Hughie's Gurgling Drones,Hornpipe,2_4,2,4
"Humours of Ballyloughlin, The",Jig,6_8,4,4
"Humours of Whiskey, The",Jig,9_8,1,2
"Hungarian Fiddler and the Gypsy Girl, The",Reel,NA,4,4
Hurlocks Reel,Reel,2_2,6,6
Hurricane Jack,Hornpipe,2_4,4,9
I Am A Young Man That Lived With My Mother,March,6_8,2,4
I Am a Young Man,March,6_8,2,4
I Believe I Can Fly,NA,4_4,2,10
I Can't Help Falling In Love With You,NA,6_8,1,2
I Ha'e a Wife o' My Ain,Jig,9_8,1,3
I Love Nae A Lassie But Ane,March,6_8,2,4
I Love The Highlands,March,6_8,2,4
I Need Thee,NA,3_4,0,4
I See Mull aka Land Of My Youth (with Seconds),March,3_4,4,8
I Skovens Dybe Stille Ro,Slow Air,2_4,2,3
I Still Call Australia Home,NA,NA,1,2
I Will Go Home to Kintail,Slow Air,4_4,3,5
I Would Have Preferred Thee At First But Not Now Sir,Jig,6_8,2,4
I'm a Lumberjack,NA,2_4,2,4
I'se The B'y,Jig,6_8,1,2
I've Been Working on the Railroad,NA,NA,0,4
I.N.S. Leviathan,Hornpipe,2_4,6,12
Ian Green of Greentrax,Hornpipe,2_4,4,8
Ian MacKenzie's Farewell To The Clyde,Slow Air,6_8,2,4
Ian McMaster - Counter Melody 1,March,12_8,4,16
Ian McMaster - Counter Melody 2,March,12_8,4,16
Ian McMaster - Theme,March,12_8,4,16
Ian Todd's Strathspey,Strathspey,NA,3,3
"Ice in the Bucket, The - First Setting",Reel, C ,2,16
"Ice in the Bucket, The - Second Setting",Reel, C ,2,18
"Iceman, The",March,9_8,2,4
Idle Time,Strathspey, C ,2,2
If I Had Maggie in the Wood,Polka,2_4,1,5
If the Shoe Fits,March,2_4,4,8
If You Think I'm Sexy,March,NA,2,3
Il Paco Grande,Hornpipe,2_4,4,8
Il Silencio,NA,12_8,1,7
Imogen And Ethan Thomas,March,4_4,4,8
In A Moment Of Rest,Slow Air,6_8,2,4
In Memory of the Youngest Shipley,Slow Air,6_8,2,4
In The Deep Silence Of The Wood,Slow Air,2_4,2,3
In the Fiddler's House,Jig,6_8,2,4
In The Mood,NA,2_4,1,3
India,Waltz,6_8,3,6
Indian Drum Song,NA,2_4,0,8
"Ingleneuk, The",Jig,6_8,2,4
Inisheer,NA,3_4,1,5
"Inniskilling Dragoon, The",March,4_4,1,3
Inspector Donald Campbell of Ness,NA,6_8,0,8
Inspector John Gillies,March,2_4,4,9
Inspector Terry Walters,NA,6_8,4,8
"Intercontinental Gathering, The",March,4_4,1,6
Inveran,March,2_4,4,9
Inveraray Castle,Strathspey, C ,4,8
Inverary Castle,March,2_4,4,9
Invergordon's Welcome to Queen Elizabeth II,March,2_4,4,8
Inverlochy Castle,March,2_4,0,8
"Inverness Gathering, The",March,2_4,6,12
Inverness Gathering,March,2_4,6,12
"Inverness Rant, The",Strathspey, C ,2,3
Ireland' Call,NA,12_8,0,4
"Irish Guards Welcome to Toronto, The",March,4_4,0,8
"Irish Nation, The",Air,NA,2,3
Irish Red's Death Breath,Hornpipe,2_4,4,8
Irish Soldier Boy,March,6_8,1,5
"Irish Washerwoman, The",Jig,6_8,4,9
"Irish Wedding Song, The",Waltz,3_4,2,4
"Iron Division, The ",March,2_4,4,8
"Iron Man, The",Strathspey,NA,2,4
Iron Man,NA,NA,1,1
Isabella's Portrait,Reel,NA,2,4
Isabelle Blackley,Jig,6_8,2,8
Isla MacLeod,Jig,6_8,4,10
"Islay Ball, The",Strathspey,4_4,2,6
Isle of Barra,March,2_4,1,2
Isle of Hoy,Strathspey, C ,2,3
Isle of Innisfree,NA,4_4,2,4
"Isle of Mull, The",Slow Air,3_4,1,2
"Isle of Skye Local Militia, The",March,2_4,2,3
It Came Upon a Midnight Clear,NA,6_8,0,4
It's a Lonely Night in the Bothy,NA,6_8,2,4
It's A Long Way To The Top,NA,4_4,1,6
It's A Long Way To Tipperary,March,4_4,1,4
Itch and Scratch,Hornpipe,2_4,2,4
Itchy Fingers and Outward Bound,Hornpipe,2_4,4,9
Itchy Fingers,Hornpipe,2_4,2,5
Jack Daniels Reel,Reel, C_ ,2,4
Jack's Welcome Home,March,4_4,4,8
Jacky Latin,Reel, C_ ,6,6
Jacky Stewart's Reel aka The Dead Cow,Reel,NA,0,2
Jacob's Troubles,Slow Air,4_4,2,5
Jake The Snake,Hornpipe,2_4,2,4
Jamie Rae,Jig,6_8,2,4
Jamie's Left Hand,Hornpipe,2_4,5,10
Jane Campbell,Strathspey,NA,1,3
Jasmine Flower,March,2_4,1,6
Jean Mauchline,March,6_8,4,10
Jeannie Carruthers,March,2_4,4,11
JennaBell the Hustler,NA,2_2,2,2
Jennie's Bawbee JMT 115,Reel, C ,0,3
Jennifer's Destitution,Reel,2_2,4,6
Jenny Dang the Weaver,Reel,NA,0,4
Jenny's Bawbee,March,2_4,2,4
Jenny's Well,March,6_8,4,10
Jessica Lindsay,Strathspey, C ,2,15
Jessica's Jig,Jig,6_8,3,6
Jessie Chisholm,NA,2_4,0,5
Jessie Henderson,Jig,9_8,4,6
Jesus Christ Superstar,NA,4_4,1,1
Jesus Loves Me Seconds,NA,2_4,1,4
Jesus Loves Me,NA,2_4,1,4
"Jetty Foreshores, The",NA,2_4,4,8
"Jewels of the Ocean, The",Waltz,3_4,0,6
"Jig of Slurs, The",Jig,6_8,4,8
Jig of Slurs,Jig, C_ ,0,4
"Jig Runrig, The",Jig,6_8,2,4
"Jiggernaut, The",Jig,6_8,5,12
Jills Endeavor,NA,2_4,0,8
Jim Thomson of Flagstaff,March,3_4,1,6
Jim Tweedie's Sea Legs,Hornpipe,2_4,5,14
Jim Tweedie's Sea-Legs,Hornpipe,2_4,6,14
Jimmy Blue,Hornpipe,2_4,0,9
Jimmy Findlater,March,4_4,4,8
Jimmy Young,March,2_4,4,9
Jimmy's Gift,Hornpipe,2_4,4,10
Jingle Bells,March,4_4,0,4
Joanna's_Hornpipe,Hornpipe,2_4,2,4
Joannie On The Coast,Reel, C_ ,5,6
Jock Broon's 70th,Hornpipe,2_4,4,8
Jock Wilson's Ball,Reel, C_ ,2,4
Joe Massey's Night Out,Jig,6_8,4,12
Joe McGann's Fiddle,Hornpipe,4_4,4,8
Joe O'Leary's Fancy,Hornpipe,2_4,4,8
Joe's March,March,2_4,1,4
Joey's Tune,Slow Air,6_8,2,4
John And Ellen,Hornpipe,2_4,4,8
John Bain MacKenzie's Sister's Wedding,March,6_8,2,5
John D. Burgess,March,6_8,4,11
John Gasper's Descent From Mt. Zion,NA,6_8,4,8
John Harper,Hornpipe,2_4,4,9
John Johnny Mick's,Reel, C_ ,2,4
John M. Ryan,March,2_4,4,9
John M. Walker-Detroit,March,6_8,4,8
John Mac Kenzie,March,2_4,2,5
John MacColl's March To Kilbowie Cottage,March,2_4,4,8
John MacDonald of Glencoe,NA,2_4,0,10
John MacDonald's Welcome to South Uist,March,2_4,4,10
John MacFadyen of Melfort,NA,2_4,0,11
John MacKenzie's Fancy,Hornpipe,2_4,4,8
John MacKenzie,March,2_4,2,5
John Macmillan of Barra,NA,2_4,4,11
John McFadden,Strathspey, C ,2,3
John McKechnie's Big Reel,Reel, C_ ,6,12
John Morrison Assynt House,Reel,NA,5,12
John Morrison of Assynt House,Reel,NA,6,12
John Paterson's Mare,Jig,6_8,5,13
John Rea the Drummer,Waltz,NA,3,7
John Roy Stewart,Strathspey, C ,2,6
John Russell Anderson,Jig,6_8,4,8
John Ryan's,Polka,2_4,1,4
John Walsh's Walk,Hornpipe,2_4,4,9
John's Jig,NA,6_8,2,4
Johnie Meikle,March,6_8,4,5
Johnnie Cope,Hornpipe,2_4,4,8
Johnnie MacDonald's Reel,Reel, C_ ,3,8
Johnnie's Tune,March,3_4,2,4
Johnny Cope - B Version,NA,2_4,2,4
Johnny Cope,March,2_4,4,8
Johnny with the Bandy Legs,March,2_4,0,4
"Johny Maiden Jig, The",Jig,6_8,4,8
"Jolly Beggarman, The",Hornpipe,2_4,2,4
"Jolly Beggerman, The",Hornpipe,2_4,2,5
Jolly Paul,NA,6_8,4,8
Jones' March,March,2_4,2,4
Joseph Slurs,Hornpipe,2_4,3,6
Journey South,March,2_4,5,10
Journey to Skye Firsts Page 2,NA,12_8,5,10
Journey to Skye Firsts Page 3,NA,6_8,2,4
Journey to Skye,March,6_8,5,10
Joy To The World,NA,2_4,0,3
Joyce MacFarlane,March,2_4,4,9
Joyful Joyful We Adore Thee,NA,4_4,0,4
"Judge's Dilemma, The",Jig,6_8,4,8
Juggernaut,Jig,6_8,7,12
Jump The Train,Hornpipe,2_4,2,4
June Rollo's Ronnie,Hornpipe,2_4,4,8
Just a Song at Twilight,NA,3_4,1,3
Just Over In the Gloryland,NA,NA,1,5
Justin's Spin Top,Jig,6_8,4,8
Kalabakan,Reel,4_4,0,8
"Kansas City Hornpipe, The",Hornpipe,2_4,4,10
Kantara to El Arish,March,2_4,4,8
Karen MacFadyen,March,6_8,4,8
Kate Dalrympyle,Reel, C_ ,2,3
Kate Martin's Waltz,Waltz,6_8,2,4
Katie Grey's Welcome from Scotland,March,3_4,2,4
Kayla Pitster,Reel, C_ ,2,4
"Keel Row, The",Strathspey,NA,2,2
Keep the Home Fires Burning,March,4_4,1,12
Kelly the Boy From Killane,March, C ,2,3
Kelly's Jig,Jig,9_8,2,2
Kelly's March,NA,2_4,2,4
Kelly,NA,2_4,2,6
Kelsey's Wee Reel,Reel, C_ ,2,4
"Kelt, The",Hornpipe,2_4,2,4
Keltan's Reel,Reel, C_ ,2,3
Keltic Kalypso,March, C ,4,6
Kemperle,March,2_4,4,4
Kenmure's Up and Awa,March,6_8,2,4
Kenneth MacDonald's Jig,Jig,6_8,4,9
Kenny Gillies of Portnalong,Jig,6_8,4,10
"Kernow Kilties, The",March,4_4,2,4
"Kesh Jig, The",Jig,6_8,2,4
Kevin's First Foray,Hornpipe,2_4,4,10
Kevin's In The Bar,NA,2_4,2,4
Kevin's Polka,Polka,2_4,1,4
Kick Start,Hornpipe,2_4,3,8
"Kicker, The",Jig,6_8,4,8
"Kid on the Mountain, The",Jig,9_8,0,5
Kilkenneth Cottage,March,4_4,1,4
Killaloe,March,6_8,5,12
"Killie Voodoo Club, The",Hornpipe,2_4,4,8
Killiecrankie,March,4_4,2,4
"Kilt is my Delight, The",Reel,2_4,2,3
Kilworth Hills-Seconds,March,3_4,4,8
Kilworth Hills,March,3_4,4,8
"King and the Swan, The",Slow Air,4_4,4,9
King and the Swan,Waltz, C ,0,8
King Carl XVI Gustav of Sweden,March,4_4,2,6
King George V's Army,March,2_4,4,8
"King Of Cardenden, The",Hornpipe,2_4,4,9
"King of Love, The",NA,3_4,0,4
"Kings Waltz, The",Waltz,6_8,2,4
"Kinloch Rannoch Highland Games, The",Strathspey, C ,4,8
Kintail,Slow Air,4_4,3,6
"Kirby Sisters, The",Reel, C_ ,4,8
Kirkburn,NA,3_4,2,4
Kirkhill,March,6_8,4,9
Kirstan's Thursday Lullabye,Slow Air,3_4,0,4
Kirstie McCallam's Favourite,Strathspey, C ,4,8
Kiss The Train Goodbye,Reel, C_ ,0,11
Kitchener's Army,NA,6_8,4,10
Kittie Lie Over,Jig,6_8,2,4
Knee Deep on Bodmin Moor,March,2_4,4,8
"Knightswood Ceilidh, The",March,2_4,4,9
"Knightswood Highlanders, The",March,2_4,6,12
"Knuckle Crusher, The",Hornpipe,2_4,4,8
"Korgi, The",Reel, C ,2,2
Korora Bay,Slow Air,6_8,2,4
Kyla McKellar's Lullaby,Slow Air,6_8,2,4
Kyleigh's Waltz,Waltz,6_8,4,8
La Baum-Orange and Blue,Strathspey,4_4,1,7
La Baum-Seconds,NA,4_4,2,4
La Cucaracha,NA,NA,1,2
La Joli Tambor,NA,6_8,0,3
La Marseillaise,March,4_4,2,4
La Paloma Blanca,NA,NA,2,5
"Lad That Wears, The Plaid, The",Strathspey, C ,4,5
"Ladies' Hornpipe, The ",Hornpipe,2_4,4,9
"Lads of Mull, The",Reel,NA,2,4
Lady Carmichael of Castlecraig,Strathspey, C ,2,2
Lady Diana Spencers's Welcome to Deeside,March,6_8,4,8
Lady Diana's Welcome to the Highlands,March,6_8,4,10
Lady Dorothea Stewart Murray,Reel, C_ ,2,3
Lady In The Bottle,Jig,6_8,2,5
Lady Lever Park,March,2_4,4,9
Lady MacBeth's Strathspey,Strathspey, C ,4,8
Lady MacKenzie of Fairburn,Strathspey, C ,2,4
Lady Madelina Sinclair,Strathspey, C ,2,4
"Laird O' Drumblair, The",Strathspey,NA,2,4
Lament For a Chindit,Slow Air,6_8,2,4
Lament for Captain Arthur Bell,NA,NA,9,27
Lament For Colonel Forbes,March,4_4,0,5
Lament for Diana,Slow Air,NA,2,5
Lament For His Dog,NA,4_4,0,16
Lament for Mary MacLeod,NA,6_8,16,16
Lament for my Brother,NA,NA,8,18
Lament for Noelle,NA, C ,5,15
Lament For Rory Mor aka Tog Orm Mo Phiob,Slow Air,6_8,2,4
Lament For Sir James MacDonald of the Isles,NA,NA,4,12
"Lament for the Children, The",NA,2_4,17,34
Lament for the Little Supper,NA,NA,6,9
Lament for the Old Sword,NA, C ,17,17
"Land O' The Leal, The",March,2_4,2,4
Land of My Fathers,NA,NA,0,4
Land of My Youth aka I See Mull,NA,3_4,3,4
Land of the Silver Birch,NA,NA,0,2
Land of the Trees,NA,3_4,2,4
"Lantern of the North, The aka Elgin Cathedral",Slow Air,12_8,2,2
Larach Alasdair,Jig,6_8,2,6
Large One's Night Out,Hornpipe,2_4,4,9
"Lark in the Clear Air, The",Slow Air,3_4,2,4
"Lark in the Morning, The",Jig,6_8,4,8
Larry Redican's,Hornpipe,2_4,2,4
"Lass of Richmond Hill, The",March,2_4,3,3
"Last Dancers Tonight, The",Waltz,3_4,4,9
"Last Ditch, The",Hornpipe,2_4,4,9
Last Night's Fun,Reel, C_ ,0,3
Last of the Great Whales,Slow Air,4_4,2,12
Last of the Summer Wine,NA,3_4,1,7
"Last Post, The",NA,2_4,0,5
"Last Rose of Summer,The",March,3_4,2,6
"Last Run, The",Jig,6_8,4,8
"Last Tango In Harris, The",Jig,12_8,4,9
"Lather, Rinse, Repeat-Felix and His Amazing Underpants",Reel,NA,4,7
"Latvian Menace, The",Reel, C_ ,2,4
Laura's Wedding March,March,6_8,4,8
Lavenders Blue,NA,3_4,0,2
Laxdale Cottage,March,2_4,4,10
Leaving Arisaig,March,3_4,4,8
Leaving Eriskay,Slow Air,3_4,2,4
Leaving Glenurquhuart,March,2_4,4,10
Leaving Home,NA,6_8,2,2
Leaving Lismore,March,6_8,2,5
Leaving Liverpool,March,4_4,2,4
Leaving Lunga,March,2_4,4,9
Leaving of Liverpool,March,4_4,2,4
Leaving Port Ascaig,March,6_8,4,10
Leaving Port Askaig,March,6_8,4,10
Leaving SouthHampton,NA,4_4,1,9
Leaving Twenty One,March,9_8,2,5
Legal Repercussions,Reel, C ,4,32
Legless in Lisburn,Reel, C_ ,4,9
Leslie Close,Reel, C_ ,4,8
Leslie,Jig,6_8,1,2
Let All Things Now Living,NA,6_8,0,3
Let Erin Remember,March,4_4,1,3
Lewisvale Park,March,9_8,2,4
Lexie McAskill,Reel, C_ ,4,5
Lexy McAskill,Reel,NA,4,5
Liberate,March,4_4,2,4
Liberation,March,4_4,2,4
Liberton Boys Pipe Band,March,2_4,4,8
Liberton Boys Polka,Polka,2_4,4,8
Lieutenant Colonel A.J. Miller-Bakewell,March,NA,4,8
Lieutenant Colonel D.J.S. Murray,March,4_4,4,8
Life is All Chequered,Jig,6_8,1,4
"Lighthouse, The",Strathspey, C ,4,8
Lili Marlene,March,4_4,1,3
Lilli Burlero,NA,6_8,2,3
"Lilting Banshee aka Ballinasloe Fair, The",Jig,6_8,2,4
"Lilting Banshee, The",Jig,6_8,2,4
Limburgs Volkslied,NA,4_4,0,5
"Limping Piper, The",March,2_4,4,9
Lindisfarne,Waltz,3_4,6,22
"Linen Cap, The",Reel,NA,2,4
"Linga Longer March, The",NA,6_8,2,4
"Links of Forth, The",March,2_4,8,16
Linlithgow_Palace,March,4_4,3,3
"Lionhart Pipe Band, The",March,2_4,4,9
Lismore Highland Gathering,March,2_4,4,8
"Little Cascade Reel, The",Reel,NA,5,9
"Little Cascade, The",Jig,6_8,6,12
"Little House Under the Hill, The",Jig,6_8,0,4
Little Lize,NA,4_4,1,6
"Little Spree, The",NA,NA,12,12
Little White Dog,NA, C_ ,0,4
Lloyd Cameron,Strathspey, C ,2,2
Loch Broom Bay,Slow Air,6_8,2,4
Loch Carron,Reel, C_ ,6,12
Loch Duich,March,6_8,2,4
Loch Etive-side,March, C_ ,2,16
Loch Lomond,March,6_8,2,4
Loch Loskin,Strathspey,NA,4,8
Loch MacLeod,March,3_4,3,6
Loch Maree,March,3_4,2,6
"Loch Ness Monster, The",Jig,6_8,4,8
Loch Rannoch Seconds,March,6_8,2,4
Loch Rannoch,March,6_8,2,4
Loch Ruan-The Bonnie Lass of Fyvie,March,4_4,4,8
Loch Ruan,March,4_4,2,4
Loch Tummelside,March,4_4,2,8
"Lochaber Gathering, The",March,2_4,4,8
Lochaber No More,NA,3_4,2,4
Lochanside 2nds,NA,3_4,3,6
Lochanside,March,3_4,3,6
Lochcote,March,2_4,4,9
Lochiel's Away to France,Reel,NA,4,8
Lockdown Jig,Jig,6_8,2,4
Lockdown No More,March,6_8,2,5
Logan & Emily,Jig,6_8,1,14
London Bridge is Falling Down,NA,2_4,1,2
Londonderry Air aka O Danny Boy,Slow Air,4_4,0,8
"Londonderry Hornpipe, The",Hornpipe,2_4,3,10
"Londonderry, The",Hornpipe,2_4,3,6
Londons Burning,NA,3_4,1,2
"Long Haul, The",Hornpipe,2_4,2,4
"Long Island Jig, The",Jig,6_8,3,6
"Longest Day, The",March,4_4,3,3
Lord Alexander Kennedy,March,2_4,6,15
Lord Blantyre,Strathspey,NA,2,3
Lord Byron,NA,3_4,2,4
Lord Dunmore's Jig aka The Bride's Jig,Jig,6_8,4,9
"Lord is My Shepherd, The",NA,NA,1,2
Lord Lovat's LamentWings,March,4_4,2,8
Lord MacPherson of Drumochter,March,6_8,4,10
Lord McDonald's Reel,Reel, C ,0,3
Lord Panmure's March,March,2_4,0,3
Lorient Mornings,Air,4_4,1,2
Lorna MacKillop's Schottische,Hornpipe,2_4,4,8
Lorraine's Tune,March,2_4,2,4
Loss of Memory,Jig,6_8,4,8
Louden's Bonnie Woods and Braes,Strathspey, C ,2,4
Lough Erin Shore,Slow Air,3_4,1,4
Louis And Rob Galliah (Dueling Pipers),Hornpipe,2_4,2,4
Lovatt Scouts March,March,2_4,4,5
Love of a Princess,Air,9_8,3,6
Lovely Stornaway,NA,3_4,1,1
Low Rider,NA,4_4,2,3
Low Water,Slow Air,6_8,1,4
Lt Col D.J.S. Murray,Reel, C_ ,4,8
Lt Vince Ayub Knoxville PD,March,3_4,2,4
Lucy Cassidy,Hornpipe,NA,4,8
Luiz Henrique Bechtlufft Bade,NA,5_4,2,2
Lullaby For Mel,Air,2_4,2,6
Lyndhurst,NA,6_8,4,10
Mac an Irish,Strathspey,NA,4,6
Mac's Jig,Jig,6_8,4,8
MacAllister's Dirk,Reel, C_ ,6,12
MacBeth's Strathspey,Strathspey,NA,4,8
MacCann's Fiddle,Hornpipe,2_4,4,8
"MacDoughal Society Jig, The",Jig,6_8,4,8
MacFarlane's Reel,Reel,NA,3,3
Macgregor of Rora,NA,3_4,2,4
MacGregor's Favourite,March,6_8,2,4
"MacGregor's Salute, The",NA,2_4,30,30
"MacIsaac Wedding, The",Reel,NA,2,3
MacKay From Skye,Reel, C_ ,4,6
MacKay's Farewell to the 74th,March,2_4,2,6
MacKay's Short Tune,NA,2_4,9,11
MacKennon's First Alarm,Hornpipe,2_4,4,10
Mackenzie Highlanders' March,March,2_4,2,5
MacKenzie of Gairloch,March,2_4,2,5
Mackintosh's Lament,NA,3_4,14,20
MacLean of Pennycross,March,2_4,4,10
MacLeod Of Mull,March,6_8,4,9
"MacNeill's March, The",March,2_4,4,9
